country,country_code,year,tourism_receipts,tourism_arrivals,tourism_exports,tourism_departures,tourism_expenditures,gdp,inflation,unemployment,continent
Sao Tome and Principe,STP,2010,11100000.0,8000.0,45.6519656976764,10300.0001907349,0.45636182771915,190021192.489536,13.34005235378,14.61,Africa
Sao Tome and Principe,STP,2011,15900000.0,12199.9998092651,54.1869030716461,10300.0001907349,0.917854194656713,226455001.243083,14.3271667616801,14.1,Africa
Sao Tome and Principe,STP,2012,15000000.0,15549.999952316251,45.541620653735,10300.0001907349,2.22589829644833,229371348.202606,10.6379353431628,13.59,Africa
Sao Tome and Principe,STP,2013,30900000.0,18900.000095367403,62.9669460002023,10300.0001907349,2.22589829644833,267041747.584354,8.10583270875476,12.6336,Africa
Sao Tome and Principe,STP,2014,56100000.0,22250.00023841855,64.4101585787403,10300.0001907349,2.22589829644833,293119143.246825,6.99849943966421,11.6772,Africa
Sao Tome and Principe,STP,2015,62500000.0,25600.0003814697,69.4569250458352,10300.0001907349,2.22589829644833,259999643.047388,5.24587835022454,10.7208,Africa
Sao Tome and Principe,STP,2016,69100000.0,28899.9996185303,71.5589125293279,10300.0001907349,2.22589829644833,292267272.196925,5.43051966119156,9.7644,Africa
Sao Tome and Principe,STP,2017,65900000.0,28899.9996185303,71.5107883514984,10300.0001907349,2.22589829644833,322002845.229335,5.6902961992902,8.808,Africa
Sao Tome and Principe,STP,2018,71900000.0,33400.0015258789,73.1935597095181,10300.0001907349,2.22589829644833,383717327.830508,7.86859628873909,8.808,Africa
Sao Tome and Principe,STP,2019,71900000.0,33400.0015258789,73.1935597095181,10300.0001907349,2.22589829644833,412976082.620705,7.72024525213248,8.808,Africa
Sao Tome and Principe,STP,2020,71900000.0,33400.0015258789,73.1935597095181,10300.0001907349,2.22589829644833,471229484.607144,9.81932791540146,8.808,Africa
Sao Tome and Principe,STP,2021,71900000.0,33400.0015258789,73.1935597095181,10300.0001907349,2.22589829644833,524402455.54816,8.13777038378732,8.808,Africa
Sao Tome and Principe,STP,2022,71900000.0,33400.0015258789,73.1935597095181,10300.0001907349,2.22589829644833,540809499.189348,18.0056351122841,8.808,Africa
Sao Tome and Principe,STP,2023,71900000.0,33400.0015258789,73.1935597095181,10300.0001907349,2.22589829644833,678976264.835436,21.2589138473,8.808,Africa
Saudi Arabia,SAU,1999,3418000000.0,11083000.0,3.45402874355544,4234000.0,14.8576727683251,161717066666.667,-1.33376350229422,4.346,
Saudi Arabia,SAU,2000,3418000000.0,11083000.0,3.45402874355544,4234000.0,14.8576727683251,189514933333.333,-1.12499477854774,4.57,
Saudi Arabia,SAU,2001,3418000000.0,11083000.0,3.45402874355544,4234000.0,14.8576727683251,184137600000.0,-1.12094477457175,4.618,
Saudi Arabia,SAU,2002,3418000000.0,11083000.0,3.45402874355544,4234000.0,14.8576727683251,189605866666.667,0.24718651429923,5.265,
Saudi Arabia,SAU,2003,3418000000.0,11083000.0,3.45402874355544,4234000.0,7.61076078127154,215807733333.333,0.612194395125212,5.563,
Saudi Arabia,SAU,2004,4290250000.0,11083000.0,3.2824173405364823,4234000.0,9.31918763354903,258742133333.333,0.515506766998081,5.822,
Saudi Arabia,SAU,2005,5162500000.0,10417000.0,3.110805937517525,5009000.0,11.02761448582652,328459608764.111,0.479230397826084,6.051,
Saudi Arabia,SAU,2006,6034750000.0,10962000.0,2.9391945344985677,2336000.0,12.736041338104009,376900133511.348,2.20902407871182,6.254,
Saudi Arabia,SAU,2007,6907000000.0,13479000.0,2.76758313147961,4817000.0,14.4444681903815,415964509673.115,4.16782330119979,5.734,
Saudi Arabia,SAU,2008,6775000000.0,17717000.0,2.09847404121761,4705000.0,9.05851409852941,519796800000.0,9.87024791275994,5.085,
Saudi Arabia,SAU,2009,6744000000.0,13319000.0,3.3376795248188,6467000.0,13.1499588032128,429097866666.667,5.05722314693633,5.377,
Saudi Arabia,SAU,2010,7536000000.0,13025000.0,2.87819051636304,18625000.0,12.6725566789492,528207200000.0,5.33941680637454,5.55,
Saudi Arabia,SAU,2011,9317000000.0,15776000.0,2.47644880968256,15865399.4140625,9.19398314318631,676634666666.667,5.82621608838862,5.586,
Saudi Arabia,SAU,2012,8400000000.0,19847000.0,2.10305229228409,20084259.765625,8.35756777551969,741849866666.667,2.86626887489915,5.622,
Saudi Arabia,SAU,2013,8690000000.0,19934000.0,2.24115950596501,22535457.03125,8.10798948375028,753864533333.333,3.53252470694918,5.6,
Saudi Arabia,SAU,2014,9263000000.0,23010000.0,2.60949304134479,22322601.5625,9.70514613898072,766605866666.667,2.23629031536978,5.877,
Saudi Arabia,SAU,2015,11183000000.0,21834000.0,5.1295719244243,25054000.0,8.23510019391582,669484266666.667,1.20607322150109,5.6,
Saudi Arabia,SAU,2016,13438000000.0,20887000.0,6.68965397720977,27618000.0,8.90833014823207,666000000000.0,2.06884036053473,5.6,
Saudi Arabia,SAU,2017,15020000000.0,18607000.0,6.26113901615019,28748000.0,9.46632512169085,714994666666.667,-0.838194579675018,5.89,
Saudi Arabia,SAU,2018,16974000000.0,17570000.0,5.38999879984986,27425000.0,8.58042655133968,846583733333.333,2.45814158007532,6.029,
Saudi Arabia,SAU,2019,19849000000.0,20292000.0,6.94361064014203,27196000.0,7.49629979765413,838564800000.0,-2.09333333333329,5.636,
Saudi Arabia,SAU,2020,5960000000.0,20292000.0,3.25953824254142,27196000.0,4.97794237693878,734271200000.0,3.44545825956692,7.66,
Saudi Arabia,SAU,2021,5960000000.0,20292000.0,3.25953824254142,27196000.0,4.97794237693878,874156000000.0,3.06328988941547,6.621,
Saudi Arabia,SAU,2022,5960000000.0,20292000.0,3.25953824254142,27196000.0,4.97794237693878,1108571466666.67,2.4740737192537,5.589,
Saudi Arabia,SAU,2023,5960000000.0,20292000.0,3.25953824254142,27196000.0,4.97794237693878,1067582933333.33,2.32708518362692,4.008,
Seychelles,SYC,1999,202000000.0,130000.0,47.7590347192074,32000.0,5.32589995173453,662838614.880674,6.34730538922156,9.81,
Seychelles,SYC,2000,225000000.0,140000.0,46.7086266416719,36000.0,8.76779761554342,654212394.27164,6.26876876876878,9.81,
Seychelles,SYC,2001,221000000.0,138000.0,43.2823528936225,41000.0,6.36445058948616,662064155.920692,5.96962204168156,9.81,
Seychelles,SYC,2002,247000000.0,135000.0,44.9096655740752,53000.0,8.88017619379259,742134837.50919,0.174999999999924,9.81,
Seychelles,SYC,2003,258000000.0,127000.0,41.8273668208465,50000.0,9.06363480781052,750847230.099263,3.30255386407089,8.373333333333333,
Seychelles,SYC,2004,256000000.0,126000.0,40.7837289848844,48000.0,7.88567244564829,893012218.181818,3.85730391367399,6.936666666666667,
Seychelles,SYC,2005,269000000.0,135000.0,37.378233772539,52000.0,6.66746542103544,977899381.818182,0.907187718073944,5.5,
Seychelles,SYC,2006,323000000.0,151000.0,37.9837352525244,55000.0,5.68811972696724,1081441283.31798,-0.353465498693756,5.2683333333333335,
Seychelles,SYC,2007,396000000.0,171000.0,46.3846467540233,58000.0,7.69510221071584,1077308813.82945,5.32060027285142,5.036666666666667,
Seychelles,SYC,2008,408000000.0,173000.0,45.2293146790639,54000.0,5.90201837922866,979597394.293453,36.9647582875289,4.805,
Seychelles,SYC,2009,349000000.0,178000.0,41.0687532188864,49000.0,5.64777091819026,850901620.433301,31.7544407744178,4.573333333333333,
Seychelles,SYC,2010,352000000.0,191000.0,41.867472008783,59000.0,6.01305645677004,981616542.328454,-2.40463875108227,4.341666666666667,
Seychelles,SYC,2011,380000000.0,210000.0,40.3201990024528,48000.0,5.50415708232275,1058918707.26124,2.55926772230953,4.11,
Seychelles,SYC,2012,429000000.0,216000.0,34.7991659568343,45000.0,4.09869769310475,1089407839.19709,7.11037062326403,4.020333333333333,
Seychelles,SYC,2013,484000000.0,237000.0,33.2436655294674,47000.0,4.00801587390205,1333160407.38516,4.33893848329099,3.9306666666666668,
Seychelles,SYC,2014,481000000.0,239000.0,35.026631236391,50000.0,4.10206576617381,1387577870.08161,1.38583454581263,3.841,
Seychelles,SYC,2015,483000000.0,296000.0,37.2376392946995,56000.0,3.80048106657115,1432403352.12944,4.04194410725617,4.151,
Seychelles,SYC,2016,505000000.0,333000.0,31.5950159416631,68000.0,5.68110605934886,1568513348.14463,-1.01548191697626,3.965,
Seychelles,SYC,2017,585000000.0,382000.0,31.3750968329153,74000.0,5.08481033088034,1675370641.01416,2.85679575568437,3.715,
Seychelles,SYC,2018,611000000.0,405000.0,28.4800561120136,72000.0,4.89851097240139,1784313926.76807,3.70291839111568,3.528,
Seychelles,SYC,2019,618000000.0,428000.0,29.6451806641873,76000.0,5.38298119257711,1868690096.73454,1.80709400809982,2.966,
Seychelles,SYC,2020,228000000.0,124500.0,18.3911664604099,19000.0,2.92756048128059,1382551751.56908,1.20266463987123,4.311,
Seychelles,SYC,2021,228000000.0,124500.0,18.3911664604099,19000.0,2.92756048128059,1487173794.80528,9.76909936973542,3.852,
Seychelles,SYC,2022,228000000.0,124500.0,18.3911664604099,19000.0,2.92756048128059,2057968519.83091,2.6260363285129,3.3930000000000002,
Seychelles,SYC,2023,228000000.0,124500.0,18.3911664604099,19000.0,2.92756048128059,2141450171.13932,-1.03530088431952,2.934,
Sierra Leone,SLE,1999,6000000.0,75000.0,20.95594384476,13000.0,23.5472979072534,669386623.951402,11.6499744518106,3.879,Africa
Sierra Leone,SLE,2000,10000000.0,75000.0,18.1669417885033,13000.0,13.8129710045219,635866403.776065,11.6499744518106,3.879,Africa
Sierra Leone,SLE,2001,14000000.0,75000.0,17.2585353934716,20000.0,15.2882419607033,1681473752.3847,11.6499744518106,3.879,Africa
Sierra Leone,SLE,2002,38000000.0,75000.0,38.7061815195179,27000.0,11.6471684937678,1933864034.188,11.6499744518106,3.879,Africa
Sierra Leone,SLE,2003,60000000.0,75000.0,33.9263449139359,13000.0,9.34518985081972,2142618349.81099,11.6499744518106,3.879,Africa
Sierra Leone,SLE,2004,58000000.0,75000.0,27.9359186929897,28000.0,8.4464231823456,2237350963.27352,11.6499744518106,3.42,Africa
Sierra Leone,SLE,2005,64000000.0,75000.0,24.4478047517241,63000.0,7.41665821752888,2545275312.60512,11.6499744518106,3.5458,Africa
Sierra Leone,SLE,2006,23000000.0,75000.0,7.60284581917601,67000.0,3.44683506111136,2912986118.07453,11.6499744518106,3.6715999999999998,Africa
Sierra Leone,SLE,2007,22000000.0,75000.0,6.65622583235172,71000.0,3.47111982277591,3326853435.59832,11.6499744518106,3.7973999999999997,Africa
Sierra Leone,SLE,2008,34000000.0,75000.0,10.2887141199936,73000.0,4.12045958503695,3835603778.61591,8.21112432289608,3.9232,Africa
Sierra Leone,SLE,2009,25000000.0,75000.0,6.78776940894446,72000.0,3.46848914375048,3784165906.1037,7.46901898540982,4.0489999999999995,Africa
Sierra Leone,SLE,2010,26000000.0,75000.0,6.23699544072879,76000.0,1.94280522246414,4033122830.14424,7.18566275668163,4.174799999999999,Africa
Sierra Leone,SLE,2011,44000000.0,75000.0,8.17443437864548,99000.0,1.04681097808063,4587078913.13315,6.79138291952621,4.3006,Africa
Sierra Leone,SLE,2012,47000000.0,75000.0,3.81696133195286,104000.0,1.28203043350598,5927684219.15278,6.58776239392585,4.4264,Africa
Sierra Leone,SLE,2013,66000000.0,95000.0,3.75562908771449,111000.0,3.14133312256058,7697098118.19922,5.52412877994266,4.5522,Africa
